case_number,specimen_id,sweep_number,recording_selection,model_condition,metric,value,status,non_evaluable_reason,non_evaluable_category,applicability_rule
46,471087830,48,long_square_prethreshold_candidate,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,insufficient_coverage,scientific_output_induced,long_square_coverage_contract
47,471087830,48,long_square_prethreshold_candidate,glif_recording_grid,absolute_spike_count_error,62,calculated,,calculated,unconditional
47,471087830,48,long_square_prethreshold_candidate,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
47,471087830,48,long_square_prethreshold_candidate,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,insufficient_coverage,scientific_output_induced,long_square_coverage_contract
48,471087830,48,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_spike_count_error,99,calculated,,calculated,unconditional
48,471087830,48,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
48,471087830,48,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,insufficient_coverage,scientific_output_induced,long_square_coverage_contract
49,475585413,40,long_square_first_spiking,glif_stored_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
49,475585413,40,long_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
49,475585413,40,long_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,2.696126305111124,calculated,,calculated,long_square_coverage_contract
50,475585413,40,long_square_first_spiking,glif_recording_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
50,475585413,40,long_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
50,475585413,40,long_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,2.696126305108293,calculated,,calculated,long_square_coverage_contract
51,475585413,40,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,1,calculated,,calculated,unconditional
51,475585413,40,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
51,475585413,40,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,16.059544895268868,calculated,,calculated,long_square_coverage_contract
52,475585413,12,short_square_first_spiking,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
52,475585413,12,short_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
52,475585413,12,short_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
53,475585413,12,short_square_first_spiking,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
53,475585413,12,short_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
53,475585413,12,short_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
54,475585413,12,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,1,calculated,,calculated,unconditional
54,475585413,12,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
54,475585413,12,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
55,475585413,70,short_square_triple_first_spiking,glif_stored_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
55,475585413,70,short_square_triple_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,14.111164700702172,calculated,,calculated,conditional_on_recording_and_model_spikes
55,475585413,70,short_square_triple_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
56,475585413,70,short_square_triple_first_spiking,glif_recording_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
56,475585413,70,short_square_triple_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,14.119178448749548,calculated,,calculated,conditional_on_recording_and_model_spikes
56,475585413,70,short_square_triple_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
57,475585413,70,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
57,475585413,70,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,0.49999999483540947,calculated,,calculated,conditional_on_recording_and_model_spikes
57,475585413,70,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
58,475585413,32,long_square_prethreshold_candidate,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
58,475585413,32,long_square_prethreshold_candidate,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
58,475585413,32,long_square_prethreshold_candidate,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,1.198009088506459,calculated,,calculated,long_square_coverage_contract
59,475585413,32,long_square_prethreshold_candidate,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
59,475585413,32,long_square_prethreshold_candidate,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
59,475585413,32,long_square_prethreshold_candidate,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,1.198009088503635,calculated,,calculated,long_square_coverage_contract
60,475585413,32,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
